"layer","level","class","id","metric","value","coreareasqkm"
1,"patch",1,716,"core",0,0
1,"patch",1,717,"core",0,0
1,"patch",1,718,"core",0,0
1,"patch",1,719,"core",0.72,0.0072
1,"patch",1,720,"core",0,0
1,"patch",1,721,"core",0,0
1,"patch",1,722,"core",0,0
1,"patch",1,723,"core",0,0
1,"patch",1,724,"core",0,0
1,"patch",1,725,"core",0,0
1,"patch",1,726,"core",0,0
1,"patch",1,727,"core",0,0
1,"patch",1,728,"core",0,0
1,"patch",1,729,"core",0,0
1,"patch",1,730,"core",0,0
1,"patch",1,731,"core",0,0
1,"patch",1,732,"core",0,0
1,"patch",1,733,"core",0.34,0.0034
1,"patch",1,734,"core",0,0
1,"patch",1,735,"core",0,0
1,"patch",1,736,"core",0,0
1,"patch",1,737,"core",0,0
1,"patch",1,738,"core",0,0
1,"patch",1,739,"core",0,0
1,"patch",1,740,"core",0,0
1,"patch",1,741,"core",0,0
1,"patch",1,742,"core",0,0
1,"patch",1,743,"core",0,0
1,"patch",1,744,"core",0,0
1,"patch",1,745,"core",0,0
1,"patch",1,746,"core",0,0
1,"patch",1,747,"core",0.01,1e-04
1,"patch",1,748,"core",0,0
1,"patch",1,749,"core",0,0
1,"patch",1,750,"core",0,0
1,"patch",1,751,"core",0,0
1,"patch",1,752,"core",6.13,0.0613
1,"patch",1,753,"core",0,0
1,"patch",1,754,"core",0,0
1,"patch",1,755,"core",10.59,0.1059
1,"patch",1,756,"core",0,0
1,"patch",1,757,"core",0,0
1,"patch",1,758,"core",0,0
1,"patch",1,759,"core",0,0
1,"patch",1,760,"core",0,0
1,"patch",1,761,"core",0,0
1,"patch",1,762,"core",0,0
1,"patch",1,763,"core",0,0
1,"patch",1,764,"core",0,0
1,"patch",1,765,"core",0,0
1,"patch",1,766,"core",0,0
1,"patch",1,767,"core",0,0
1,"patch",1,768,"core",0,0
1,"patch",1,769,"core",0,0
1,"patch",1,770,"core",0,0
1,"patch",1,771,"core",2447.86,24.4786
1,"patch",1,772,"core",0,0
1,"patch",1,773,"core",0,0
1,"patch",1,774,"core",7.76,0.0776
1,"patch",1,775,"core",0,0
1,"patch",1,776,"core",0,0
1,"patch",1,777,"core",0,0
1,"patch",1,778,"core",0,0
1,"patch",1,779,"core",0,0
1,"patch",1,780,"core",0,0
1,"patch",1,781,"core",0,0
1,"patch",1,782,"core",0,0
1,"patch",1,783,"core",0,0
1,"patch",1,784,"core",0,0
1,"patch",1,785,"core",0,0
1,"patch",1,786,"core",0,0
1,"patch",1,787,"core",0,0
1,"patch",1,788,"core",0,0
1,"patch",1,789,"core",0,0
1,"patch",1,790,"core",0,0
1,"patch",1,791,"core",0,0
1,"patch",1,792,"core",0,0
